cod_municipio,municipio,OADR_2010,YDR_2010,OADR_2022,YDR_2022,dOADR,dYDR
2500106,Água Branca (PB),17.260881619074024,45.372886054893264,17.16429825961999,33.035286603863966,-0.09658335945403351,-12.337599451029298
2500205,Aguiar (PB),22.44964565460649,39.17847817978366,21.62971839424805,28.984421809466745,-0.8199272603584369,-10.194056370316915
2500304,Alagoa Grande (PB),21.62959412247306,40.58314359196541,19.422795194843246,34.30999121007911,-2.206798927629812,-6.273152381886298
2500403,Alagoa Nova (PB),19.089360915655654,41.05532746306882,16.376884784647572,36.35740567058654,-2.7124761310080814,-4.697921792482283
2500502,Alagoinha (PB),18.453981085733073,42.52809097414276,16.0941615452151,35.5959174714662,-2.3598195405179716,-6.932173502676562
2500536,Alcantil (PB),20.212295444493588,39.70219666814094,15.812887570773793,35.53518468589916,-4.399407873719795,-4.167011982241782
2500577,Algodão de Jandaíra (PB),17.77459828307286,43.16530926700418,15.595854922279793,38.83419689119171,-2.1787433607930655,-4.331112375812474
2500601,Alhandra (PB),11.120671112067111,43.42439234243923,10.733851876902266,37.38248224551911,-0.38681923516484495,-6.041910096920127
2500700,São João do Rio do Peixe (PB),20.52990766760337,31.484009099424597,21.463594018141702,26.0889106807224,0.9336863505383306,-5.395098418702197
2500734,Amparo (PB),17.533166009322336,38.25743994263177,17.220338983050848,34.71186440677966,-0.3128270262714885,-3.545575535852109
2500775,Aparecida (PB),21.4250790442974,34.41767984614883,20.58823529411765,31.328273244781784,-0.836843750179753,-3.0894066013670454
2500809,Araçagi (PB),21.584389194358117,38.270977767152765,20.079568319004938,33.00713371135906,-1.5048208753531789,-5.2638440557937045
2500908,Arara (PB),27.75452699622923,38.3334023950607,25.888846104479526,31.696829675266333,-1.8656808917497045,-6.636572719794369
2501005,Araruna (PB),19.405412345397224,47.16615072968231,17.547169811320753,34.22992540587977,-1.8582425340764708,-12.936225323802539
2501104,Areia (PB),18.41429188255613,38.74676165803109,17.046814736002126,34.316398457241654,-1.3674771465540054,-4.4303632007894365
2501153,Areia de Baraúnas (PB),14.73820297349709,37.77634130575307,18.48802395209581,32.74700598802395,3.749820978598718,-5.029335317729121
2501203,Areial (PB),21.72863924050633,38.401898734177216,20.573538996306755,35.33565066261134,-1.1551002441995735,-3.066248071565873
2501302,Aroeiras (PB),22.433156204870798,45.29815066668536,19.093943340931293,34.10126994464344,-3.3392128639395047,-11.196880722041918
2501351,Assunção (PB),16.14478598103993,40.87187589773054,16.9150521609538,38.72950819672131,0.7702661799138681,-2.1423677010092277
2501401,Baía da Traição (PB),11.329380196773446,47.31838208500348,11.482701812191104,41.803953871499175,0.1533216154176582,-5.514428213504303
2501500,Bananeiras (PB),19.87039743190475,42.010636513906526,17.30400306944622,31.589717355160506,-2.566394362458528,-10.42091915874602
2501534,Baraúna (PB),20.04265691651432,39.68921389396709,20.61904761904762,31.317460317460316,0.576390702533299,-8.371753576506777
2501575,Barra de Santana (PB),21.65034705007437,38.813832424392665,21.204139228598308,31.138287864534338,-0.44620782147606164,-7.675544559858327
2501609,Barra de Santa Rosa (PB),20.664415442183078,40.77575978826321,21.38698031908699,29.684406661232096,0.7225648769039132,-11.091353127031113
2501708,Barra de São Miguel (PB),19.664257821266663,37.01243323308945,18.781855249745156,32.55606523955148,-0.8824025715215065,-4.456367993537974
2501807,Bayeux (PB),11.45723480292519,35.358128116533344,13.420244067561233,31.070876803166282,1.9630092646360442,-4.2872513133670616
2501906,Belém (PB),23.327900474004515,36.227701601447436,20.069488890920727,30.652829843649997,-3.258411583083788,-5.574871757797439
