cod_municipio,municipio,pop_0a14,pop_65mais,indice_envelhecimento,percentual_idosos,razao_dependencia,classificacao,pop_60mais,indice_60mais,diferenca_abs,diferenca_rel
2513984,São Francisco - PB,169,134,79.28994082840237,44.224422442244226,100,Alerta,718,424.85207100591714,345.56213017751475,435.820895522388
2501609,Barra de Santa Rosa - PB,723,573,79.25311203319502,44.21296296296296,100,Alerta,2461,340.387275242047,261.134163208852,329.49389179755667
2500700,São João do Rio do Peixe - PB,990,782,78.98989898989899,44.13092550790068,100,Alerta,3549,358.4848484848485,279.49494949494954,353.83631713554996
2513604,Santana dos Garrotes - PB,409,323,78.97310513447434,44.12568306010929,100,Alerta,1376,336.43031784841077,257.45721271393643,326.0061919504643
2507408,Jericó - PB,430,339,78.83720930232559,44.083224967490246,100,Alerta,1450,337.2093023255814,258.37209302325584,327.72861356932157
2506202,Frei Martinho - PB,151,119,78.80794701986756,44.074074074074076,100,Alerta,NA,NA,NA,NA
2504850,Coxixola - PB,94,74,78.72340425531915,44.047619047619044,100,Alerta,410,436.17021276595744,357.4468085106383,454.05405405405406
2517100,Várzea - PB,150,118,78.66666666666666,44.02985074626866,100,Alerta,550,366.66666666666663,288,366.10169491525426
2507408,Jericó - PB,432,339,78.47222222222221,43.96887159533074,100,Alerta,1450,335.64814814814815,257.1759259259259,327.72861356932157
2515500,Serra Branca - PB,793,622,78.43631778058008,43.957597173144876,100,Alerta,2822,355.8638083228247,277.42749054224464,353.69774919614144
2512077,Poço de José de Moura - PB,220,172,78.18181818181819,43.87755102040816,100,Alerta,852,387.27272727272725,309.09090909090907,395.34883720930225
2517209,Vieirópolis - PB,287,224,78.04878048780488,43.83561643835616,100,Alerta,1108,386.06271777003485,308.01393728222996,394.64285714285717
2514800,São José dos Cordeiros - PB,194,151,77.83505154639175,43.768115942028984,100,Alerta,701,361.340206185567,283.50515463917526,364.2384105960265
2514206,São José da Lagoa Tapada - PB,449,349,77.728285077951,43.734335839599,100,Alerta,1428,318.04008908685967,240.31180400890867,309.16905444126076
2513653,Joca Claudino - PB,152,118,77.63157894736842,43.7037037037037,100,Alerta,472,310.5263157894737,232.89473684210526,300
2502607,Igaracy - PB,343,266,77.55102040816327,43.67816091954023,100,Alerta,NA,NA,NA,NA
2512077,Poço de José de Moura - PB,222,172,77.47747747747748,43.65482233502538,100,Alerta,852,383.78378378378375,306.3063063063063,395.34883720930225
2504850,Coxixola - PB,96,74,77.08333333333334,43.529411764705884,100,Alerta,410,427.0833333333333,350,454.05405405405406
2504850,Coxixola - PB,96,74,77.08333333333334,43.529411764705884,100,Alerta,410,427.0833333333333,350,454.05405405405406
2500700,São João do Rio do Peixe - PB,1026,782,76.21832358674465,43.25221238938053,100,Alerta,3549,345.906432748538,269.68810916179336,353.8363171355498
2513968,São Domingos - PB,168,128,76.19047619047619,43.24324324324324,100,Alerta,536,319.0476190476191,242.8571428571429,318.75000000000006
2509370,Mato Grosso - PB,142,108,76.05633802816901,43.2,100,Alerta,487,342.9577464788733,266.90140845070425,350.925925925926
2513208,Santa Cruz - PB,355,270,76.05633802816901,43.2,100,Alerta,1440,405.6338028169014,329.57746478873236,433.3333333333333
2517209,Vieirópolis - PB,323,245,75.85139318885449,43.13380281690141,100,Alerta,1108,343.0340557275542,267.1826625386997,352.2448979591837
2510006,Nazarezinho - PB,412,312,75.72815533980582,43.0939226519337,100,Alerta,1346,326.6990291262136,250.97087378640776,331.4102564102564
2504504,Condado - PB,394,298,75.63451776649747,43.0635838150289,100,Alerta,1258,319.28934010152284,243.65482233502536,322.1476510067113
2506202,Frei Martinho - PB,151,114,75.49668874172185,43.0188679245283,100,Alerta,NA,NA,NA,NA
2513968,São Domingos - PB,134,101,75.3731343283582,42.97872340425532,100,Alerta,536,400,324.6268656716418,430.69306930693074
2510303,Nova Palmeira - PB,232,174,75,42.857142857142854,100,Alerta,774,333.62068965517244,258.62068965517244,344.82758620689657
2513000,Salgadinho - PB,184,138,75,42.857142857142854,100,Alerta,564,306.52173913043475,231.52173913043475,308.695652173913
2501609,Barra de Santa Rosa - PB,766,573,74.80417754569191,42.79312920089619,100,Alerta,2461,321.27937336814625,246.47519582245434,329.4938917975567
2514008,São João do Cariri - PB,272,203,74.63235294117648,42.73684210526316,100,Alerta,859,315.80882352941177,241.1764705882353,323.15270935960586
2515807,Serra Redonda - PB,418,308,73.68421052631578,42.42424242424242,100,Alerta,1285,307.4162679425837,233.73205741626793,317.20779220779224
2514404,São José de Espinharas - PB,220,162,73.63636363636363,42.40837696335078,100,Alerta,810,368.1818181818182,294.54545454545456,400.0000000000001
2512077,Poço de José de Moura - PB,261,192,73.5632183908046,42.384105960264904,100,Alerta,852,326.4367816091954,252.8735632183908,343.75000000000006
2510501,Olivedos - PB,189,139,73.54497354497354,42.3780487804878,100,Alerta,676,357.67195767195767,284.1269841269841,386.3309352517985
2508109,Lagoa - PB,260,191,73.46153846153847,42.350332594235034,100,Alerta,849,326.53846153846155,253.0769230769231,344.5026178010471
2512200,Prata - PB,228,167,73.24561403508771,42.278481012658226,100,Alerta,736,322.8070175438596,249.5614035087719,340.71856287425146
2502607,Igaracy - PB,365,266,72.87671232876713,42.15530903328051,100,Alerta,NA,NA,NA,NA
2515500,Serra Branca - PB,854,622,72.8337236533958,42.140921409214094,100,Alerta,2822,330.4449648711944,257.6112412177986,353.6977491961414
2514008,São João do Cariri - PB,279,203,72.75985663082437,42.11618257261411,100,Alerta,859,307.8853046594982,235.12544802867384,323.1527093596059
2502904,Brejo dos Santos - PB,330,240,72.72727272727273,42.10526315789473,100,Alerta,1080,327.2727272727273,254.54545454545456,350
2514404,São José de Espinharas - PB,220,160,72.72727272727273,42.10526315789473,100,Alerta,810,368.1818181818182,295.45454545454544,406.2499999999999
2500908,Arara - PB,755,549,72.71523178807946,42.10122699386503,100,Alerta,2641,349.80132450331126,277.0860927152318,381.05646630236805
2517100,Várzea - PB,150,109,72.66666666666667,42.084942084942085,100,Alerta,550,366.66666666666663,293.99999999999994,404.5871559633026
2514206,São José da Lagoa Tapada - PB,406,294,72.41379310344827,42,100,Alerta,1428,351.7241379310345,279.3103448275862,385.7142857142858
2513307,Santa Helena - PB,358,259,72.3463687150838,41.9773095623987,100,Alerta,1223,341.62011173184356,269.2737430167598,372.20077220077224
2500700,São João do Rio do Peixe - PB,1081,782,72.3404255319149,41.9753086419753,100,Alerta,3549,328.3071230342276,255.96669750231268,353.83631713554985
2508406,Lastro - PB,188,136,72.3404255319149,41.9753086419753,100,Alerta,620,329.7872340425532,257.44680851063833,355.8823529411765
2514909,São Mamede - PB,455,329,72.3076923076923,41.964285714285715,100,Alerta,1686,370.54945054945057,298.24175824175825,412.46200607902733
2500205,Aguiar - PB,258,185,71.70542635658916,41.760722347629795,100,Alerta,995,385.6589147286822,313.95348837209303,437.8378378378378
2504108,Carrapateira - PB,127,91,71.65354330708661,41.74311926605505,100,Alerta,NA,NA,NA,NA
2513208,Santa Cruz - PB,377,270,71.61803713527851,41.73106646058732,100,Alerta,1440,381.9628647214854,310.34482758620686,433.3333333333333
2500908,Arara - PB,767,549,71.57757496740548,41.71732522796353,100,Alerta,2641,344.32855280312907,272.7509778357236,381.0564663023679
2513604,Santana dos Garrotes - PB,379,271,71.50395778364116,41.692307692307686,100,Alerta,1376,363.06068601583115,291.55672823219,407.74907749077494
2513802,Santa Teresinha - PB,254,181,71.25984251968504,41.60919540229885,100,Alerta,NA,NA,NA,NA
2510600,Ouro Velho - PB,160,114,71.25,41.605839416058394,100,Alerta,NA,NA,NA,NA
2514701,São José do Sabugi - PB,226,161,71.23893805309734,41.60206718346253,100,Alerta,NA,NA,NA,NA
2514008,São João do Cariri - PB,285,203,71.2280701754386,41.59836065573771,100,Alerta,859,301.4035087719298,230.1754385964912,323.1527093596058
2500205,Aguiar - PB,308,219,71.1038961038961,41.555977229601524,100,Alerta,995,323.05194805194805,251.94805194805195,354.337899543379
2508703,Mãe d'Água - PB,223,158,70.85201793721974,41.46981627296588,100,Alerta,654,293.27354260089686,222.42152466367713,313.92405063291136
2502300,Bom Sucesso - PB,226,160,70.79646017699115,41.45077720207254,100,Alerta,1140,504.424778761062,433.6283185840708,612.5000000000001
2516904,Uiraúna - PB,912,642,70.39473684210526,41.312741312741316,100,Alerta,2907,318.75,248.35526315789474,352.80373831775705
2500700,São João do Rio do Peixe - PB,990,693,70,41.17647058823529,100,Moderado,3549,358.4848484848485,288.4848484848485,412.1212121212121
2514800,São José dos Cordeiros - PB,216,151,69.9074074074074,41.14441416893733,100,Moderado,701,324.537037037037,254.62962962962962,364.2384105960265
2513802,Santa Teresinha - PB,260,181,69.61538461538461,41.043083900226755,100,Moderado,NA,NA,NA,NA
2516805,Triunfo - PB,589,410,69.60950764006792,41.04104104104104,100,Moderado,1736,294.7368421052631,225.1273344651952,323.41463414634137
2512200,Prata - PB,240,167,69.58333333333333,41.03194103194103,100,Moderado,736,306.6666666666667,237.08333333333337,340.7185628742516
2504074,Caraúbas - PB,220,153,69.54545454545455,41.01876675603217,100,Moderado,748,340,270.45454545454544,388.88888888888886
2502201,Bom Jesus - PB,134,93,69.40298507462687,40.969162995594715,100,Moderado,NA,NA,NA,NA
2517209,Vieirópolis - PB,323,224,69.3498452012384,40.95063985374772,100,Moderado,1108,343.0340557275542,273.6842105263158,394.6428571428571
2513604,Santana dos Garrotes - PB,467,323,69.16488222698072,40.88607594936709,100,Moderado,1376,294.64668094218416,225.48179871520344,326.0061919504644
2512101,Pombal - PB,1890,1302,68.88888888888889,40.78947368421053,100,Moderado,5929,313.7037037037037,244.8148148148148,355.3763440860215
2509370,Mato Grosso - PB,157,108,68.78980891719745,40.75471698113208,100,Moderado,487,310.1910828025478,241.40127388535035,350.925925925926
2510006,Nazarezinho - PB,412,283,68.68932038834951,40.719424460431654,100,Moderado,1346,326.6990291262136,258.00970873786406,375.61837455830386
2513109,Salgado de São Félix - PB,720,493,68.47222222222223,40.64303380049464,100,Moderado,2294,318.6111111111111,250.13888888888886,365.314401622718
2513307,Santa Helena - PB,358,245,68.43575418994413,40.6301824212272,100,Moderado,1223,341.62011173184356,273.18435754189943,399.18367346938777
2516904,Uiraúna - PB,940,642,68.29787234042554,40.581542351453855,100,Moderado,2907,309.25531914893617,240.9574468085106,352.80373831775694
2510907,Paulista - PB,699,477,68.24034334763948,40.56122448979592,100,Moderado,2097,300,231.75965665236052,339.62264150943395
2517100,Várzea - PB,173,118,68.20809248554913,40.549828178694156,100,Moderado,550,317.91907514450867,249.71098265895955,366.10169491525426
2517209,Vieirópolis - PB,239,163,68.20083682008368,40.547263681592035,100,Moderado,1108,463.59832635983264,395.39748953974896,579.7546012269938
2514909,São Mamede - PB,566,386,68.19787985865725,40.54621848739496,100,Moderado,1686,297.8798586572438,229.68197879858656,336.78756476683935
2504074,Caraúbas - PB,220,150,68.18181818181817,40.54054054054054,100,Moderado,748,340,271.8181818181818,398.66666666666674
2510600,Ouro Velho - PB,160,109,68.125,40.520446096654275,100,Moderado,NA,NA,NA,NA
2508703,Mãe d'Água - PB,232,158,68.10344827586206,40.51282051282051,100,Moderado,654,281.89655172413796,213.7931034482759,313.9240506329115
2504850,Coxixola - PB,94,64,68.08510638297872,40.50632911392405,100,Moderado,410,436.17021276595744,368.0851063829787,540.625
2500908,Arara - PB,755,514,68.0794701986755,40.5043341213554,100,Moderado,2641,349.80132450331126,281.72185430463577,413.8132295719845
2505105,Cuité - PB,1192,810,67.9530201342282,40.45954045954046,100,Moderado,3674,308.22147651006713,240.26845637583892,353.5802469135802
2511103,Pedra Lavrada - PB,390,265,67.94871794871796,40.458015267175576,100,Moderado,1292,331.2820512820513,263.33333333333337,387.54716981132077
2515500,Serra Branca - PB,916,622,67.90393013100436,40.442132639791936,100,Moderado,2822,308.07860262008734,240.17467248908298,353.69774919614156
2506608,Ibiara - PB,347,235,67.72334293948127,40.37800687285223,100,Moderado,1121,323.05475504322766,255.3314121037464,377.02127659574467
2501575,Barra de Santana - PB,511,346,67.71037181996086,40.37339556592766,100,Moderado,1543,301.9569471624266,234.24657534246575,345.95375722543355
2510303,Nova Palmeira - PB,257,174,67.70428015564202,40.37122969837587,100,Moderado,774,301.16731517509726,233.46303501945522,344.8275862068965
2500700,São João do Rio do Peixe - PB,1026,693,67.54385964912281,40.31413612565445,100,Moderado,3549,345.906432748538,278.3625730994152,412.1212121212121
2510006,Nazarezinho - PB,462,312,67.53246753246754,40.310077519379846,100,Moderado,1346,291.34199134199133,223.8095238095238,331.4102564102564
2506202,Frei Martinho - PB,129,87,67.44186046511628,40.27777777777778,100,Moderado,NA,NA,NA,NA
2505105,Cuité - PB,1206,810,67.16417910447761,40.17857142857143,100,Moderado,3674,304.6434494195688,237.47927031509118,353.5802469135802
2511301,Piancó - PB,958,643,67.11899791231733,40.162398500936916,100,Moderado,2845,296.9728601252609,229.8538622129436,342.457231726283
2513307,Santa Helena - PB,386,259,67.09844559585493,40.15503875968992,100,Moderado,1223,316.83937823834196,249.74093264248705,372.2007722007722
2504850,Coxixola - PB,94,63,67.02127659574468,40.12738853503185,100,Moderado,410,436.17021276595744,369.1489361702128,550.7936507936508
2500908,Arara - PB,767,514,67.01434159061279,40.12490241998439,100,Moderado,2641,344.32855280312907,277.3142112125163,413.8132295719844
2502201,Bom Jesus - PB,139,93,66.90647482014388,40.08620689655172,100,Moderado,NA,NA,NA,NA
2508000,Juru - PB,568,380,66.90140845070422,40.08438818565401,100,Moderado,1594,280.6338028169014,213.73239436619716,319.47368421052624
2513109,Salgado de São Félix - PB,737,493,66.89280868385346,40.08130081300813,100,Moderado,2294,311.2618724559023,244.36906377204883,365.31440162271804
2504850,Coxixola - PB,96,64,66.66666666666666,40,100,Moderado,410,427.0833333333333,360.41666666666663,540.625
2504850,Coxixola - PB,96,64,66.66666666666666,40,100,Moderado,410,427.0833333333333,360.41666666666663,540.625
2510402,Olho d'Água - PB,411,274,66.66666666666666,40,100,Moderado,1044,254.01459854014598,187.34793187347933,281.021897810219
2510402,Olho d'Água - PB,411,274,66.66666666666666,40,100,Moderado,1044,254.01459854014598,187.34793187347933,281.021897810219
2513802,Santa Teresinha - PB,272,181,66.54411764705883,39.95584988962472,100,Moderado,NA,NA,NA,NA
2502904,Brejo dos Santos - PB,361,240,66.4819944598338,39.93344425956739,100,Moderado,1080,299.16897506925204,232.68698060941824,349.9999999999999
2511301,Piancó - PB,968,643,66.42561983471074,39.9130974549969,100,Moderado,2845,293.90495867768595,227.4793388429752,342.45723172628306
2510659,Parari - PB,137,91,66.42335766423358,39.91228070175439,100,Moderado,379,276.64233576642334,210.21897810218977,316.4835164835165
2510659,Parari - PB,104,69,66.34615384615384,39.884393063583815,100,Moderado,379,364.4230769230769,298.0769230769231,449.2753623188406
2513984,São Francisco - PB,202,134,66.33663366336634,39.88095238095239,100,Moderado,718,355.44554455445547,289.1089108910891,435.82089552238807
2513604,Santana dos Garrotes - PB,409,271,66.25916870415648,39.852941176470594,100,Moderado,1376,336.43031784841077,270.1711491442543,407.74907749077494
2514701,São José do Sabugi - PB,243,161,66.2551440329218,39.851485148514854,100,Moderado,NA,NA,NA,NA
2507408,Jericó - PB,513,339,66.08187134502924,39.7887323943662,100,Moderado,1450,282.65107212475635,216.5692007797271,327.72861356932157
2508406,Lastro - PB,206,136,66.01941747572816,39.76608187134503,100,Moderado,620,300.97087378640776,234.9514563106796,355.8823529411764
2506608,Ibiara - PB,356,235,66.01123595505618,39.76311336717428,100,Moderado,1121,314.8876404494382,248.87640449438203,377.0212765957447
2502003,Belém do Brejo do Cruz - PB,364,240,65.93406593406593,39.735099337748345,100,Moderado,1091,299.72527472527474,233.79120879120882,354.5833333333334
2512077,Poço de José de Moura - PB,261,172,65.90038314176245,39.722863741339495,100,Moderado,852,326.4367816091954,260.53639846743295,395.34883720930236
2500734,Amparo - PB,126,83,65.87301587301587,39.71291866028708,100,Moderado,337,267.46031746031747,201.5873015873016,306.0240963855422
2508109,Lagoa - PB,290,191,65.86206896551724,39.70893970893971,100,Moderado,849,292.7586206896552,226.89655172413794,344.50261780104717
2501534,Baraúna - PB,287,189,65.85365853658537,39.705882352941174,100,Moderado,876,305.22648083623693,239.37282229965155,363.49206349206344
2515807,Serra Redonda - PB,468,308,65.8119658119658,39.69072164948454,100,Moderado,1285,274.5726495726496,208.76068376068378,317.2077922077923
2513406,Santa Luzia - PB,944,621,65.78389830508475,39.680511182108624,100,Moderado,2707,286.75847457627117,220.97457627118644,335.9098228663446
2513851,Santo André - PB,187,123,65.77540106951871,39.67741935483871,100,Moderado,NA,NA,NA,NA
2513653,Joca Claudino - PB,146,96,65.75342465753424,39.66942148760331,100,Moderado,472,323.28767123287673,257.5342465753425,391.66666666666674
2503100,Cabaceiras - PB,327,215,65.74923547400611,39.66789667896679,100,Moderado,NA,NA,NA,NA
2504850,Coxixola - PB,96,63,65.625,39.62264150943396,100,Moderado,410,427.0833333333333,361.4583333333333,550.7936507936508
2504850,Coxixola - PB,96,63,65.625,39.62264150943396,100,Moderado,410,427.0833333333333,361.4583333333333,550.7936507936508
2513927,São Bentinho - PB,267,175,65.54307116104869,39.59276018099548,100,Moderado,801,300,234.4569288389513,357.7142857142857
2514206,São José da Lagoa Tapada - PB,449,294,65.47884187082406,39.569313593539704,100,Moderado,1428,318.04008908685967,252.5612472160356,385.71428571428567
2508406,Lastro - PB,188,123,65.42553191489363,39.549839228295816,100,Moderado,620,329.7872340425532,264.3617021276596,404.06504065040656
2514305,São José de Caiana - PB,344,225,65.40697674418605,39.54305799648506,100,Moderado,830,241.27906976744185,175.8720930232558,268.8888888888888
2513851,Santo André - PB,187,122,65.24064171122996,39.482200647249186,100,Moderado,NA,NA,NA,NA
2501575,Barra de Santana - PB,531,346,65.16007532956685,39.45267958950969,100,Moderado,1543,290.58380414312614,225.4237288135593,345.9537572254335
2511103,Pedra Lavrada - PB,390,253,64.87179487179488,39.346811819595644,100,Moderado,1292,331.2820512820513,266.41025641025647,410.67193675889337
2514206,São José da Lagoa Tapada - PB,538,349,64.86988847583643,39.346110484780155,100,Moderado,1428,265.42750929368026,200.55762081784383,309.1690544412607
2515500,Serra Branca - PB,793,514,64.8171500630517,39.32670237184392,100,Moderado,2822,355.8638083228247,291.046658259773,449.0272373540856
2505352,Damião - PB,309,200,64.72491909385113,39.29273084479371,100,Moderado,831,268.93203883495147,204.20711974110034,315.50000000000006
2516904,Uiraúna - PB,992,642,64.71774193548387,39.290085679314565,100,Moderado,2907,293.0443548387097,228.32661290322582,352.80373831775705
2513406,Santa Luzia - PB,960,621,64.6875,39.27893738140417,100,Moderado,2707,281.9791666666667,217.29166666666669,335.90982286634465
2502607,Igaracy - PB,413,266,64.40677966101694,39.175257731958766,100,Moderado,NA,NA,NA,NA
2513406,Santa Luzia - PB,966,621,64.28571428571429,39.130434782608695,100,Moderado,2707,280.2277432712215,215.94202898550725,335.9098228663446
2514404,São José de Espinharas - PB,252,162,64.28571428571429,39.130434782608695,100,Moderado,810,321.42857142857144,257.14285714285717,400
2504504,Condado - PB,464,298,64.22413793103449,39.107611548556434,100,Moderado,1258,271.12068965517244,206.89655172413796,322.14765100671144
2513307,Santa Helena - PB,290,186,64.13793103448275,39.075630252100844,100,Moderado,1223,421.7241379310344,357.5862068965517,557.5268817204302
2513653,Joca Claudino - PB,184,118,64.13043478260869,39.0728476821192,100,Moderado,472,256.52173913043475,192.39130434782606,300
2500700,São João do Rio do Peixe - PB,1081,693,64.1073080481036,39.06426155580609,100,Moderado,3549,328.3071230342276,264.19981498612395,412.1212121212121
2505808,Duas Estradas - PB,181,116,64.08839779005525,39.05723905723906,100,Moderado,608,335.91160220994476,271.8232044198895,424.13793103448273
2505808,Duas Estradas - PB,181,116,64.08839779005525,39.05723905723906,100,Moderado,608,335.91160220994476,271.8232044198895,424.13793103448273
2502300,Bom Sucesso - PB,250,160,64,39.02439024390244,100,Moderado,1140,455.99999999999994,391.99999999999994,612.4999999999999
2515807,Serra Redonda - PB,482,308,63.90041493775933,38.9873417721519,100,Moderado,1285,266.597510373444,202.69709543568464,317.20779220779224
2508109,Lagoa - PB,299,191,63.87959866220736,38.9795918367347,100,Moderado,849,283.9464882943144,220.06688963210706,344.5026178010472
2510907,Paulista - PB,748,477,63.770053475935825,38.93877551020408,100,Moderado,2097,280.3475935828877,216.57754010695191,339.62264150943406
2504504,Condado - PB,366,233,63.661202185792355,38.898163606010016,100,Moderado,1258,343.7158469945355,280.05464480874315,439.9141630901287
2502102,Boa Ventura - PB,349,222,63.61031518624641,38.879159369527144,100,Moderado,913,261.6045845272206,197.9942693409742,311.2612612612613
2504306,Catolé do Rocha - PB,1870,1188,63.52941176470588,38.84892086330935,100,Moderado,5209,278.5561497326203,215.02673796791444,338.4680134680135
2510501,Olivedos - PB,189,120,63.49206349206349,38.83495145631068,100,Moderado,676,357.67195767195767,294.1798941798942,463.33333333333337
2514404,São José de Espinharas - PB,252,160,63.49206349206349,38.83495145631068,100,Moderado,810,321.42857142857144,257.93650793650795,406.2500000000001
2513307,Santa Helena - PB,386,245,63.47150259067358,38.82725832012678,100,Moderado,1223,316.83937823834196,253.36787564766837,399.1836734693877
2502151,Boa Vista - PB,405,257,63.456790123456784,38.82175226586103,100,Moderado,1083,267.4074074074074,203.9506172839506,321.40077821011675
2510006,Nazarezinho - PB,492,312,63.41463414634146,38.80597014925373,100,Moderado,1346,273.5772357723577,210.16260162601625,331.4102564102564
2516805,Triunfo - PB,647,410,63.3693972179289,38.78902554399243,100,Moderado,1736,268.3153013910355,204.9459041731066,323.4146341463414
2506202,Frei Martinho - PB,188,119,63.297872340425535,38.762214983713356,100,Moderado,NA,NA,NA,NA
2504108,Carrapateira - PB,144,91,63.19444444444444,38.72340425531915,100,Moderado,NA,NA,NA,NA
2514800,São José dos Cordeiros - PB,239,151,63.17991631799163,38.71794871794872,100,Moderado,701,293.3054393305439,230.12552301255226,364.2384105960264
2513653,Joca Claudino - PB,152,96,63.1578947368421,38.70967741935484,100,Moderado,472,310.5263157894737,247.3684210526316,391.6666666666667
